participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.unique_id,session.code,survey_part_1_cw.1.player.gender,survey_part_1_cw.1.player.age_category,survey_part_1_cw.1.player.personal_experience,survey_part_1_cw.1.player.tool_experience,inflation_calculator.1.player.unique_id,survey_part_2.1.player.att1,survey_part_2.1.player.att2,survey_part_2.1.player.att3,survey_part_2.1.player.att4,survey_part_2.1.player.att5,survey_part_2.1.player.att6,survey_part_2.1.player.att7,survey_part_2.1.player.treat_check,survey_part_2.1.player.att8,survey_part_2.1.player.att9,survey_part_2.1.player.q1,survey_part_2.1.player.q2,survey_part_2.1.player.q3,survey_part_2.1.player.q4,survey_part_2.1.player.q5,survey_part_2.1.player.q6,survey_part_2.1.player.q7,survey_part_2.1.player.q8,survey_part_2.1.player.q9,survey_part_2.1.player.q10,survey_part_2.1.player.q11,survey_part_2.1.player.q12,survey_part_2.1.player.q13,survey_part_2.1.player.q14,survey_part_2.1.player.q15,survey_part_2.1.player.q16,survey_part_2.1.player.q17
survey_part_2,Closing_passed,2022-11-04 10:02:33.815209,11bd2a0d-dd24-439b-9821-834943300bf7,7ymv81x6,1.0,4.0,2.0,2.0,11bd2a0d-dd24-439b-9821-834943300bf7,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,1.0,5.0,4.0
survey_part_2,Closing_passed,2022-11-04 10:17:08.279060,c0bd38cd-c3c7-43d2-9f0d-5cd4d95878ce,7ymv81x6,1.0,5.0,2.0,2.0,c0bd38cd-c3c7-43d2-9f0d-5cd4d95878ce,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0
survey_part_2,Closing_passed,2022-11-04 10:31:25.860405,73ad88bb-7939-4a46-b947-9545243a4d4f,7ymv81x6,1.0,2.0,2.0,2.0,73ad88bb-7939-4a46-b947-9545243a4d4f,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0
survey_part_2,Closing_passed,2022-11-04 10:34:02.944345,3de86f04-0d04-4896-973b-dc5792651d8c,7ymv81x6,1.0,4.0,1.0,2.0,3de86f04-0d04-4896-973b-dc5792651d8c,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
survey_part_2,Closing_passed,2022-11-04 10:46:07.576776,d44d0aef-308c-4ac0-a9a0-72281357136b,7ymv81x6,1.0,5.0,2.0,2.0,d44d0aef-308c-4ac0-a9a0-72281357136b,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0
survey_part_2,Closing_passed,2022-11-04 12:30:17.666426,a4d30b59-643b-44f7-bf15-71bb13c89e53,7ymv81x6,2.0,3.0,2.0,2.0,a4d30b59-643b-44f7-bf15-71bb13c89e53,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0
survey_part_2,Closing_passed,2022-11-04 13:34:53.668436,fc8f59c6-56be-4922-b495-91ba1761934b,7ymv81x6,1.0,3.0,1.0,2.0,fc8f59c6-56be-4922-b495-91ba1761934b,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
survey_part_2,Closing_passed,2022-11-04 15:20:36.790844,0f88bee3-e3f7-4931-abca-d6025e1d0cae,7ymv81x6,1.0,6.0,2.0,2.0,0f88bee3-e3f7-4931-abca-d6025e1d0cae,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
survey_part_2,Closing_passed,2022-11-04 22:14:20.686117,dab5dc8f-50cf-47e6-bc66-188b04f804b8,7ymv81x6,2.0,3.0,2.0,2.0,dab5dc8f-50cf-47e6-bc66-188b04f804b8,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0
survey_part_2,Closing_passed,2022-11-05 00:45:01.371802,d080e543-9b62-4a8b-88e5-9bd1095cf937,7ymv81x6,1.0,2.0,2.0,2.0,d080e543-9b62-4a8b-88e5-9bd1095cf937,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0
survey_part_2,Closing_passed,2022-11-05 11:08:41.789282,f7f29ea9-f3ee-4402-ad2b-71f88c8aafb3,7ymv81x6,1.0,5.0,2.0,2.0,f7f29ea9-f3ee-4402-ad2b-71f88c8aafb3,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
survey_part_2,Closing_passed,2022-11-05 13:13:37.413735,214e63aa-c552-43be-9050-1b0af4f5e2f7,7ymv81x6,2.0,2.0,2.0,2.0,214e63aa-c552-43be-9050-1b0af4f5e2f7,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0
survey_part_2,Closing_passed,2022-11-05 17:00:36.119665,a55e1c88-3565-4a6a-b36a-d008e977bdc6,7ymv81x6,1.0,3.0,2.0,2.0,a55e1c88-3565-4a6a-b36a-d008e977bdc6,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,3.0,3.0,4.0,3.0
survey_part_2,Closing_passed,2022-11-05 19:03:15.189462,7edcd733-095c-4cde-b2c2-0e1542237e44,7ymv81x6,2.0,2.0,2.0,2.0,7edcd733-095c-4cde-b2c2-0e1542237e44,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
