participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.unique_id,participant.explanation,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,survey_part_1_cw.1.player.id_in_group,survey_part_1_cw.1.player.role,survey_part_1_cw.1.player.payoff,survey_part_1_cw.1.player.gender,survey_part_1_cw.1.player.age_category,survey_part_1_cw.1.player.personal_experience,survey_part_1_cw.1.player.tool_experience,survey_part_1_cw.1.player.clickworker_id,survey_part_1_cw.1.group.id_in_subsession,survey_part_1_cw.1.subsession.round_number,inflation_calculator.1.player.id_in_group,inflation_calculator.1.player.role,inflation_calculator.1.player.payoff,inflation_calculator.1.player.explanation,inflation_calculator.1.player.unique_id,inflation_calculator.1.group.id_in_subsession,inflation_calculator.1.subsession.round_number,survey_part_2.1.player.id_in_group,survey_part_2.1.player.role,survey_part_2.1.player.payoff,survey_part_2.1.player.att1,survey_part_2.1.player.att2,survey_part_2.1.player.att3,survey_part_2.1.player.att4,survey_part_2.1.player.att5,survey_part_2.1.player.att6,survey_part_2.1.player.att7,survey_part_2.1.player.treat_check,survey_part_2.1.player.att8,survey_part_2.1.player.att9,survey_part_2.1.player.q1,survey_part_2.1.player.q2,survey_part_2.1.player.q3,survey_part_2.1.player.q4,survey_part_2.1.player.q5,survey_part_2.1.player.q6,survey_part_2.1.player.q7,survey_part_2.1.player.q8,survey_part_2.1.player.q9,survey_part_2.1.player.q10,survey_part_2.1.player.q11,survey_part_2.1.player.q12,survey_part_2.1.player.q13,survey_part_2.1.player.q14,survey_part_2.1.player.q15,survey_part_2.1.player.q16,survey_part_2.1.player.q17,survey_part_2.1.group.id_in_subsession,survey_part_2.1.subsession.round_number
31,76a6twk1,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:00:23.945093,1,,,0.0,9ef08c25-9235-4bda-899c-3f42b45e2755,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,31,,0.0,1,1,2,2,10698799,1,1,31,,0.0,1,9ef08c25-9235-4bda-899c-3f42b45e2755,1,1,31,,0.0,1,1,2,2,2,1,2,1,2,5,4,4,4,4,3,4,4,5,5,2,2,2,5,4,4,4,5,1,1
37,xh90ol4b,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:02:35.719856,1,,,0.0,91fec758-ec58-4380-a5a2-6fa9c55c9e26,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,37,,0.0,1,3,2,2,2856461,1,1,37,,0.0,1,91fec758-ec58-4380-a5a2-6fa9c55c9e26,1,1,37,,0.0,1,1,2,2,2,1,2,1,1,4,5,5,4,4,4,4,4,4,3,2,3,2,4,4,4,4,4,1,1
45,fvvfh9ti,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:07:14.936899,1,,,0.0,e24847e7-098b-4db7-b0d5-a221016a8013,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,45,,0.0,2,4,2,2,1477217,1,1,45,,0.0,1,e24847e7-098b-4db7-b0d5-a221016a8013,1,1,45,,0.0,1,1,2,2,2,1,2,1,1,4,3,4,2,1,1,1,2,3,1,2,2,2,4,3,3,3,3,1,1
57,d6au8xo9,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:13:51.457871,1,,,0.0,ea7201a9-58c1-4c19-9a82-0804e10bd3f7,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,57,,0.0,1,1,2,2,10735515,1,1,57,,0.0,1,ea7201a9-58c1-4c19-9a82-0804e10bd3f7,1,1,57,,0.0,1,1,2,2,2,1,2,1,3,3,4,5,3,3,3,3,3,3,3,5,5,3,3,3,5,3,1,1,1
59,czx3xpu4,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:14:23.734207,1,,,0.0,0442140c-9f3a-463a-8da6-a6a9d8da9089,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,59,,0.0,1,7,2,2,1611407,1,1,59,,0.0,1,0442140c-9f3a-463a-8da6-a6a9d8da9089,1,1,59,,0.0,1,1,2,2,2,1,2,1,2,4,1,4,2,3,3,3,3,4,2,1,1,1,3,2,1,3,2,1,1
69,jdu27124,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:20:37.982830,1,,,0.0,fd82dfae-b638-4762-bb00-0681bfae96e5,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,69,,0.0,2,3,2,2,99350,1,1,69,,0.0,1,fd82dfae-b638-4762-bb00-0681bfae96e5,1,1,69,,0.0,1,1,2,2,2,1,2,1,2,5,3,3,4,2,2,2,3,5,3,1,1,1,3,5,2,3,4,1,1
71,u9ktdtzt,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:20:50.631284,1,,,0.0,11b1c2c0-40d2-4066-83c8-272b189269ca,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,71,,0.0,2,3,2,2,10375769,1,1,71,,0.0,1,11b1c2c0-40d2-4066-83c8-272b189269ca,1,1,71,,0.0,1,1,2,2,2,1,2,1,2,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,3,4,5,1,1
77,9h5x70kx,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:26:51.240041,1,,,0.0,6c527b0a-55ad-4faf-8704-6609baf8f623,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,77,,0.0,1,4,2,2,16482,1,1,77,,0.0,1,6c527b0a-55ad-4faf-8704-6609baf8f623,1,1,77,,0.0,1,1,2,2,2,1,2,1,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,5,1,1
93,z1oiyj8e,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:39:08.770985,1,,,0.0,495531ec-0d25-4100-88b5-1bb66f8431b4,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,93,,0.0,1,2,2,2,4896073,1,1,93,,0.0,1,495531ec-0d25-4100-88b5-1bb66f8431b4,1,1,93,,0.0,1,1,2,2,2,1,2,1,2,5,4,5,5,5,4,4,5,3,4,2,1,1,2,1,3,4,3,1,1
103,ojc21183,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:46:07.947206,1,,,0.0,33ab3b69-ca9a-48ef-95cf-fa642461895e,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,103,,0.0,1,5,2,2,3077429,1,1,103,,0.0,1,33ab3b69-ca9a-48ef-95cf-fa642461895e,1,1,103,,0.0,1,1,2,2,2,1,2,1,2,3,3,3,2,3,3,3,4,4,2,1,1,1,2,3,3,2,2,1,1
