"participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.unique_id,participant.explanation,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,survey_part_1_cw.1.player.id_in_group,survey_part_1_cw.1.player.role,survey_part_1_cw.1.player.payoff,survey_part_1_cw.1.player.gender,survey_part_1_cw.1.player.age_category,survey_part_1_cw.1.player.personal_experience,survey_part_1_cw.1.player.tool_experience,survey_part_1_cw.1.player.clickworker_id,survey_part_1_cw.1.group.id_in_subsession,survey_part_1_cw.1.subsession.round_number,inflation_calculator.1.player.id_in_group,inflation_calculator.1.player.role,inflation_calculator.1.player.payoff,inflation_calculator.1.player.explanation,inflation_calculator.1.player.unique_id,inflation_calculator.1.group.id_in_subsession,inflation_calculator.1.subsession.round_number,survey_part_2.1.player.id_in_group,survey_part_2.1.player.role,survey_part_2.1.player.payoff,survey_part_2.1.player.att1,survey_part_2.1.player.att2,survey_part_2.1.player.att3,survey_part_2.1.player.att4,survey_part_2.1.player.att5,survey_part_2.1.player.att6,survey_part_2.1.player.att7,survey_part_2.1.player.treat_check,survey_part_2.1.player.att8,survey_part_2.1.player.att9,survey_part_2.1.player.q1,survey_part_2.1.player.q2,survey_part_2.1.player.q3,survey_part_2.1.player.q4,survey_part_2.1.player.q5,survey_part_2.1.player.q6,survey_part_2.1.player.q7,survey_part_2.1.player.q8,survey_part_2.1.player.q9,survey_part_2.1.player.q10,survey_part_2.1.player.q11,survey_part_2.1.player.q12,survey_part_2.1.player.q13,survey_part_2.1.player.q14,survey_part_2.1.player.q15,survey_part_2.1.player.q16,survey_part_2.1.player.q17,survey_part_2.1.group.id_in_subsession,survey_part_2.1.subsession.round_number"
"20,cyrnjib2,,0,13,14,survey_part_2,Closing_passed,2022-11-04 09:55:32.453816,1,,,0.0,8ce00f43-1157-4358-a54c-070afdbf26b1,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,20,,0.0,2,2,2,2,5603125,1,1,20,,0.0,0,8ce00f43-1157-4358-a54c-070afdbf26b1,1,1,20,,0.0,1,1,2,2,2,1,2,2,1,4,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,1,1"
"22,zin4y2v2,,0,13,14,survey_part_2,Closing_passed,2022-11-04 09:56:49.919038,1,,,0.0,77da53ef-a295-4e96-9f39-b6bea4da3ff1,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,22,,0.0,1,5,2,2,1116432,1,1,22,,0.0,0,77da53ef-a295-4e96-9f39-b6bea4da3ff1,1,1,22,,0.0,1,1,2,2,2,1,2,2,3,4,1,2,2,3,1,2,4,4,1,1,1,1,2,2,1,2,3,1,1"
"28,fkrnxh0o,,0,13,14,survey_part_2,Closing_passed,2022-11-04 09:58:20.906927,1,,,0.0,c2fd0c5b-d6cd-4938-8554-0b47988a7f61,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,28,,0.0,4,4,2,2,1156452,1,1,28,,0.0,0,c2fd0c5b-d6cd-4938-8554-0b47988a7f61,1,1,28,,0.0,1,1,2,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,3,3,4,1,1"
"46,y1r3qiid,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:08:11.413798,1,,,0.0,3d2e5a3e-0608-4965-a82d-2014395a9044,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,46,,0.0,2,4,2,2,10242903,1,1,46,,0.0,0,3d2e5a3e-0608-4965-a82d-2014395a9044,1,1,46,,0.0,1,1,2,2,2,1,2,2,2,4,4,4,4,3,3,3,3,4,4,1,1,1,4,3,4,3,3,1,1"
"64,m5m7nqoy,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:16:40.112967,1,,,0.0,61d267e4-110b-42cf-b591-82354373d9ed,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,64,,0.0,1,5,2,2,6294101,1,1,64,,0.0,0,61d267e4-110b-42cf-b591-82354373d9ed,1,1,64,,0.0,1,1,2,2,2,1,2,2,3,4,3,4,4,2,2,2,2,3,2,3,3,3,3,3,3,3,3,1,1"
"66,d8v89cib,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:17:08.279060,1,,,0.0,c0bd38cd-c3c7-43d2-9f0d-5cd4d95878ce,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,66,,0.0,1,5,2,2,5836147,1,1,66,,0.0,0,c0bd38cd-c3c7-43d2-9f0d-5cd4d95878ce,1,1,66,,0.0,1,1,2,2,2,1,2,2,1,5,4,3,4,4,4,4,4,4,4,2,2,2,3,4,4,4,4,1,1"
"68,t5rfyp5g,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:19:54.167356,1,,,0.0,9e46e522-fc00-47f8-9098-10af48accccf,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,68,,0.0,2,4,2,2,6676423,1,1,68,,0.0,0,9e46e522-fc00-47f8-9098-10af48accccf,1,1,68,,0.0,1,1,2,2,2,1,2,2,1,5,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,1,1"
"82,gi653b5g,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:31:13.816387,1,,,0.0,9bdb9b63-8cc0-4ddd-8590-441ffac31236,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,82,,0.0,1,3,2,2,459472,1,1,82,,0.0,0,9bdb9b63-8cc0-4ddd-8590-441ffac31236,1,1,82,,0.0,1,1,2,2,2,1,2,2,2,5,4,3,4,3,4,4,3,4,3,4,4,3,3,4,3,4,4,1,1"
"84,n5sqscsc,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:31:25.860405,1,,,0.0,73ad88bb-7939-4a46-b947-9545243a4d4f,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,84,,0.0,1,2,2,2,1593693,1,1,84,,0.0,0,73ad88bb-7939-4a46-b947-9545243a4d4f,1,1,84,,0.0,1,1,2,2,2,1,2,2,3,5,3,4,2,4,4,4,3,4,3,2,2,1,4,5,4,3,4,1,1"
"86,d936frcj,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:34:02.944345,1,,,0.0,3de86f04-0d04-4896-973b-dc5792651d8c,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,86,,0.0,1,4,1,2,970902,1,1,86,,0.0,0,3de86f04-0d04-4896-973b-dc5792651d8c,1,1,86,,0.0,1,1,2,2,2,1,2,2,3,5,4,4,4,4,4,4,5,4,5,5,4,5,4,5,4,4,4,1,1"
"88,rnd2yey2,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:37:33.202477,1,,,0.0,77cfbd77-c973-4aa3-a940-56eea0e14b09,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,88,,0.0,2,3,2,2,833701,1,1,88,,0.0,0,77cfbd77-c973-4aa3-a940-56eea0e14b09,1,1,88,,0.0,1,1,2,2,2,1,2,2,1,4,5,5,4,3,4,4,4,4,3,3,3,3,2,3,2,3,3,1,1"
"108,lzabnk4g,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:49:47.003906,1,,,0.0,11d397d7-dead-4178-85db-d6f0b3dc12fd,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,108,,0.0,2,5,2,2,1622201,1,1,108,,0.0,0,11d397d7-dead-4178-85db-d6f0b3dc12fd,1,1,108,,0.0,1,1,2,2,2,1,2,2,2,4,4,4,2,4,4,4,3,3,3,2,1,2,2,4,3,2,2,1,1"
"174,3zljrzic,,0,13,14,survey_part_2,Closing_passed,2022-11-04 11:56:26.854628,1,,,0.0,2f3a0b4e-7213-41b9-8341-e7db50dae5de,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,174,,0.0,1,6,2,2,948263,1,1,174,,0.0,0,2f3a0b4e-7213-41b9-8341-e7db50dae5de,1,1,174,,0.0,1,1,2,2,2,1,2,2,1,3,3,3,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1"
"180,rf6uubnv,,0,13,14,survey_part_2,Closing_passed,2022-11-04 12:00:15.647534,1,,,0.0,bc19d0bf-b905-4cee-9c2f-1c0ba690ad9e,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,180,,0.0,1,2,2,2,9673637,1,1,180,,0.0,0,bc19d0bf-b905-4cee-9c2f-1c0ba690ad9e,1,1,180,,0.0,1,1,2,2,2,1,2,2,2,5,2,3,2,4,3,4,4,3,4,5,5,5,4,4,4,5,4,1,1"
"202,49sygjig,,0,13,14,survey_part_2,Closing_passed,2022-11-04 12:19:08.024553,1,,,0.0,175c6cab-5205-40ee-b617-8033a6c318a2,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,202,,0.0,1,6,1,1,1218821,1,1,202,,0.0,0,175c6cab-5205-40ee-b617-8033a6c318a2,1,1,202,,0.0,1,1,2,2,2,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1"
"204,v0jxyk42,,0,13,14,survey_part_2,Closing_passed,2022-11-04 12:20:00.010419,1,,,0.0,4e05e71a-dea0-4ff5-acb7-88a18c8c8479,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,204,,0.0,2,2,2,2,10711651,1,1,204,,0.0,0,4e05e71a-dea0-4ff5-acb7-88a18c8c8479,1,1,204,,0.0,1,1,2,2,2,1,2,2,3,4,4,5,5,4,5,5,2,4,5,4,5,4,4,3,2,4,3,1,1"
"216,eye3txgx,,0,13,14,survey_part_2,Closing_passed,2022-11-04 12:25:51.357127,1,,,0.0,6e48393d-9e63-4758-ab9e-3b33b1f73ec1,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,216,,0.0,2,2,2,2,621302,1,1,216,,0.0,0,6e48393d-9e63-4758-ab9e-3b33b1f73ec1,1,1,216,,0.0,1,1,2,2,2,1,2,2,2,4,4,3,3,2,2,2,2,2,2,1,1,1,3,3,2,3,3,1,1"
"218,pc8d01v4,,0,13,14,survey_part_2,Closing_passed,2022-11-04 12:30:17.666426,1,,,0.0,a4d30b59-643b-44f7-bf15-71bb13c89e53,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,218,,0.0,2,3,2,2,5529655,1,1,218,,0.0,0,a4d30b59-643b-44f7-bf15-71bb13c89e53,1,1,218,,0.0,1,1,2,2,2,1,2,2,1,5,4,4,4,4,4,3,2,4,2,1,1,1,5,5,3,5,5,1,1"
"230,rheppy6x,,0,13,14,survey_part_2,Closing_passed,2022-11-04 12:43:28.350052,1,,,0.0,0dd3b1f8-dc80-419a-a248-9b77469d0a6b,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,230,,0.0,2,2,2,2,117574,1,1,230,,0.0,0,0dd3b1f8-dc80-419a-a248-9b77469d0a6b,1,1,230,,0.0,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
"280,28pr34zt,,0,13,14,survey_part_2,Closing_passed,2022-11-04 14:20:50.607588,1,,,0.0,ebad2554-45e3-409f-9174-8ccedce68048,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,280,,0.0,2,1,2,2,9794467,1,1,280,,0.0,0,ebad2554-45e3-409f-9174-8ccedce68048,1,1,280,,0.0,1,1,2,2,2,1,2,2,2,5,4,2,3,4,5,4,4,4,4,1,1,1,5,4,3,5,5,1,1"
"314,p08gys40,,0,13,14,survey_part_2,Closing_passed,2022-11-04 15:20:36.790844,1,,,0.0,0f88bee3-e3f7-4931-abca-d6025e1d0cae,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,314,,0.0,1,6,2,2,1221414,1,1,314,,0.0,0,0f88bee3-e3f7-4931-abca-d6025e1d0cae,1,1,314,,0.0,1,1,2,2,2,1,2,2,3,3,2,2,2,3,3,2,3,3,3,2,2,2,3,3,3,3,3,1,1"
"318,k9lfgnjt,,0,13,14,survey_part_2,Closing_passed,2022-11-04 15:24:21.279878,1,,,0.0,a834ce74-56fa-4645-9965-f420d186d618,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,318,,0.0,1,1,2,2,8433941,1,1,318,,0.0,0,a834ce74-56fa-4645-9965-f420d186d618,1,1,318,,0.0,1,1,2,2,2,1,2,2,3,3,4,2,4,3,3,3,2,2,4,2,2,2,1,4,4,4,1,1,1"
"334,xj2k1cx7,,0,13,14,survey_part_2,Closing_passed,2022-11-04 15:47:44.425116,1,,,0.0,7ab65022-2bf8-4e38-8322-5b66ffe80c89,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,334,,0.0,1,2,2,2,4077501,1,1,334,,0.0,0,7ab65022-2bf8-4e38-8322-5b66ffe80c89,1,1,334,,0.0,1,1,2,2,2,1,2,2,2,4,2,4,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,1,1"
"358,k687jmn2,,0,13,14,survey_part_2,Closing_passed,2022-11-04 16:28:57.262675,1,,,0.0,06c12cfa-3454-4403-916d-616cc7ef2115,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,358,,0.0,2,2,2,2,2329812,1,1,358,,0.0,0,06c12cfa-3454-4403-916d-616cc7ef2115,1,1,358,,0.0,1,1,2,2,2,1,2,2,2,4,4,3,3,3,3,3,2,2,2,1,1,1,4,3,3,3,3,1,1"
"374,kj1tlj8a,,0,13,14,survey_part_2,Closing_passed,2022-11-04 16:52:50.670248,1,,,0.0,824be0f4-1e7b-4542-8d39-d3aec9282f05,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,374,,0.0,2,1,2,2,10533943,1,1,374,,0.0,0,824be0f4-1e7b-4542-8d39-d3aec9282f05,1,1,374,,0.0,1,1,2,2,2,1,2,2,1,4,5,5,5,5,5,5,3,5,3,5,4,4,5,5,5,5,5,1,1"
"402,omybbbru,,0,13,14,survey_part_2,Closing_passed,2022-11-04 18:37:01.574681,1,,,0.0,b24a6056-79f9-427f-bd4a-c58481ab214a,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,402,,0.0,1,3,2,2,345537,1,1,402,,0.0,0,b24a6056-79f9-427f-bd4a-c58481ab214a,1,1,402,,0.0,1,1,2,2,2,1,2,2,3,4,2,3,3,4,2,2,3,3,4,2,2,2,2,3,2,3,3,1,1"
"416,47zn2p96,,0,13,14,survey_part_2,Closing_passed,2022-11-04 18:54:45.253269,1,,,0.0,175f426d-114c-41f1-83bd-9d7f0cf7aded,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,416,,0.0,1,3,2,2,189688467,1,1,416,,0.0,0,175f426d-114c-41f1-83bd-9d7f0cf7aded,1,1,416,,0.0,1,1,2,2,2,1,2,2,3,5,4,5,5,4,4,4,5,5,5,1,1,1,3,5,1,4,5,1,1"
