participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.unique_id,participant.explanation,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,survey_part_1_cw.1.player.id_in_group,survey_part_1_cw.1.player.role,survey_part_1_cw.1.player.payoff,survey_part_1_cw.1.player.gender,survey_part_1_cw.1.player.age_category,survey_part_1_cw.1.player.personal_experience,survey_part_1_cw.1.player.tool_experience,survey_part_1_cw.1.player.clickworker_id,survey_part_1_cw.1.group.id_in_subsession,survey_part_1_cw.1.subsession.round_number,inflation_calculator.1.player.id_in_group,inflation_calculator.1.player.role,inflation_calculator.1.player.payoff,inflation_calculator.1.player.explanation,inflation_calculator.1.player.unique_id,inflation_calculator.1.group.id_in_subsession,inflation_calculator.1.subsession.round_number,survey_part_2.1.player.id_in_group,survey_part_2.1.player.role,survey_part_2.1.player.payoff,survey_part_2.1.player.att1,survey_part_2.1.player.att2,survey_part_2.1.player.att3,survey_part_2.1.player.att4,survey_part_2.1.player.att5,survey_part_2.1.player.att6,survey_part_2.1.player.att7,survey_part_2.1.player.treat_check,survey_part_2.1.player.att8,survey_part_2.1.player.att9,survey_part_2.1.player.q1,survey_part_2.1.player.q2,survey_part_2.1.player.q3,survey_part_2.1.player.q4,survey_part_2.1.player.q5,survey_part_2.1.player.q6,survey_part_2.1.player.q7,survey_part_2.1.player.q8,survey_part_2.1.player.q9,survey_part_2.1.player.q10,survey_part_2.1.player.q11,survey_part_2.1.player.q12,survey_part_2.1.player.q13,survey_part_2.1.player.q14,survey_part_2.1.player.q15,survey_part_2.1.player.q16,survey_part_2.1.player.q17,survey_part_2.1.group.id_in_subsession,survey_part_2.1.subsession.round_number
1,y6sxdygl,,0,0,15,,,,0,,,0.0,da90c25e-736a-4b9b-8cf1-bb9d914ee3ef,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,1,,0.0,,,,,,1,1,1,,0.0,1,da90c25e-736a-4b9b-8cf1-bb9d914ee3ef,1,1,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,8wmsbxlr,,0,0,15,,,,0,,,0.0,1667ad6d-6f20-456f-8d05-d3c0e8c4cfd1,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,2,,0.0,,,,,,1,1,2,,0.0,0,1667ad6d-6f20-456f-8d05-d3c0e8c4cfd1,1,1,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,y4a0o432,,0,0,15,,,,0,,,0.0,65ee3005-350c-47dc-aacc-2c5fbdb03837,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,3,,0.0,,,,,,1,1,3,,0.0,1,65ee3005-350c-47dc-aacc-2c5fbdb03837,1,1,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,86qnjfyf,,0,0,15,,,,0,,,0.0,c1d12487-7dd7-4ad5-ae71-28124a545eb2,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,4,,0.0,,,,,,1,1,4,,0.0,0,c1d12487-7dd7-4ad5-ae71-28124a545eb2,1,1,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,nckq193d,,0,15,15,survey_part_2,Closing_failed,2022-11-03 21:48:46.523612,1,,,0.0,052a306d-eb1d-4aaa-aeaf-f0f41b3ab605,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,5,,0.0,1,2,1,1,yx<cyx<vy<,1,1,5,,0.0,1,052a306d-eb1d-4aaa-aeaf-f0f41b3ab605,1,1,5,,0.0,1,1,2,2,2,1,2,1,3,4,5,4,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1
6,5je4htw6,,0,0,15,,,,0,,,0.0,d60603ca-3453-4dd7-ab79-1f890b464ef5,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,6,,0.0,,,,,,1,1,6,,0.0,0,d60603ca-3453-4dd7-ab79-1f890b464ef5,1,1,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
7,8t3m4sjy,,0,0,15,,,,0,,,0.0,f7beb2d9-e49e-486c-8d14-15faad4b4010,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,7,,0.0,,,,,,1,1,7,,0.0,1,f7beb2d9-e49e-486c-8d14-15faad4b4010,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
8,aefcxmbh,,0,0,15,,,,0,,,0.0,9b9f0ceb-baa7-491c-9de6-b5abcc1880d7,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,8,,0.0,,,,,,1,1,8,,0.0,0,9b9f0ceb-baa7-491c-9de6-b5abcc1880d7,1,1,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
9,qb7r98si,,0,0,15,,,,0,,,0.0,48bb5c88-e893-4e20-834a-245cacd23746,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,9,,0.0,,,,,,1,1,9,,0.0,1,48bb5c88-e893-4e20-834a-245cacd23746,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
10,im6i9eji,,0,0,15,,,,0,,,0.0,6cd972c4-923b-46a8-8c98-329a59abb878,,qeuc8td1,,,,,1,0.0,1.0,InflationsrechnerSurveyClickworker,10,,0.0,,,,,,1,1,10,,0.0,0,6cd972c4-923b-46a8-8c98-329a59abb878,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
